product_id,product_name,category,sub_category,material,tier,size_litres,is_induction,unit_price,popularity_index,warranty_years,launch_year
HW-PC-10001,Hawkins Classic 1.5L,Pressure Cooker,Classic,Aluminium,Standard,1.5,False,1020.0,1.0,5,2020
HW-PC-10002,Hawkins Classic 2L,Pressure Cooker,Classic,Aluminium,Standard,2.0,False,1090.0,1.0,5,2024
HW-PC-10003,Hawkins Classic 3L,Pressure Cooker,Classic,Aluminium,Standard,3.0,False,1230.0,1.0,5,2022
HW-PC-10004,Hawkins Classic 3.5L,Pressure Cooker,Classic,Aluminium,Standard,3.5,False,1310.0,1.0,5,2020
HW-PC-10005,Hawkins Classic 4L,Pressure Cooker,Classic,Aluminium,Standard,4.0,False,1380.0,1.0,5,2018
HW-PC-10006,Hawkins Classic 5L,Pressure Cooker,Classic,Aluminium,Standard,5.0,False,1520.0,1.0,5,2018
HW-PC-10007,Hawkins Classic 6.5L,Pressure Cooker,Classic,Aluminium,Standard,6.5,False,1740.0,1.0,5,2015
HW-PC-10008,Hawkins Classic 8L,Pressure Cooker,Classic,Aluminium,Standard,8.0,False,1960.0,1.0,5,2023
HW-PC-10009,Hawkins Classic 10L,Pressure Cooker,Classic,Aluminium,Standard,10.0,False,2250.0,1.0,5,2022
HW-PC-10010,Hawkins Classic 12L,Pressure Cooker,Classic,Aluminium,Standard,12.0,False,2540.0,1.0,5,2022
HW-PC-10011,Hawkins Classic Wide 5L,Pressure Cooker,Classic Wide,Aluminium,Standard,5.0,False,2140.0,0.55,5,2015
HW-PC-10012,Hawkins Classic Wide 6.5L,Pressure Cooker,Classic Wide,Aluminium,Standard,6.5,False,2440.0,0.55,5,2024
HW-PC-10013,Hawkins Classic Wide 8L,Pressure Cooker,Classic Wide,Aluminium,Standard,8.0,False,2750.0,0.55,5,2023
HW-PC-10014,Hawkins Classic Wide 10L,Pressure Cooker,Classic Wide,Aluminium,Standard,10.0,False,3150.0,0.55,5,2018
HW-PC-10015,Hawkins Contura 1.5L,Pressure Cooker,Contura,Aluminium,Premium,1.5,False,1550.0,0.85,5,2018
HW-PC-10016,Hawkins Contura 2L,Pressure Cooker,Contura,Aluminium,Premium,2.0,False,1660.0,0.85,5,2018
HW-PC-10017,Hawkins Contura 3L,Pressure Cooker,Contura,Aluminium,Premium,3.0,False,1890.0,0.85,5,2018
HW-PC-10018,Hawkins Contura 3.5L,Pressure Cooker,Contura,Aluminium,Premium,3.5,False,2000.0,0.85,5,2020
HW-PC-10019,Hawkins Contura 4L,Pressure Cooker,Contura,Aluminium,Premium,4.0,False,2110.0,0.85,5,2020
HW-PC-10020,Hawkins Contura 5L,Pressure Cooker,Contura,Aluminium,Premium,5.0,False,2330.0,0.85,5,2018
HW-PC-10021,Hawkins Contura 6.5L,Pressure Cooker,Contura,Aluminium,Premium,6.5,False,2660.0,0.85,5,2022
HW-PC-10022,Hawkins Contura Black 3L,Pressure Cooker,Contura Black,Hard Anodised,Premium,3.0,False,2750.0,0.7,5,2015
HW-PC-10023,Hawkins Contura Black 3.5L,Pressure Cooker,Contura Black,Hard Anodised,Premium,3.5,False,2920.0,0.7,5,2018
HW-PC-10024,Hawkins Contura Black 4L,Pressure Cooker,Contura Black,Hard Anodised,Premium,4.0,False,3080.0,0.7,5,2020
HW-PC-10025,Hawkins Contura Black 5L,Pressure Cooker,Contura Black,Hard Anodised,Premium,5.0,False,3400.0,0.7,5,2020
HW-PC-10026,Hawkins Contura Black 6.5L,Pressure Cooker,Contura Black,Hard Anodised,Premium,6.5,False,3890.0,0.7,5,2022
HW-PC-10027,Hawkins Contura Black XT 3L,Pressure Cooker,Contura Black XT,Hard Anodised,Premium,3.0,True,3570.0,0.55,5,2018
HW-PC-10028,Hawkins Contura Black XT 4L,Pressure Cooker,Contura Black XT,Hard Anodised,Premium,4.0,True,3990.0,0.55,5,2020
HW-PC-10029,Hawkins Contura Black XT 5L,Pressure Cooker,Contura Black XT,Hard Anodised,Premium,5.0,True,4420.0,0.55,5,2020
HW-PC-10030,Hawkins Contura Black XT 6.5L,Pressure Cooker,Contura Black XT,Hard Anodised,Premium,6.5,True,5050.0,0.55,5,2015
HW-PC-10031,Hawkins Stainless Steel Contura 3L,Pressure Cooker,Stainless Steel Contura,Stainless Steel,Premium,3.0,True,4480.0,0.45,5,2022
HW-PC-10032,Hawkins Stainless Steel Contura 4L,Pressure Cooker,Stainless Steel Contura,Stainless Steel,Premium,4.0,True,5010.0,0.45,5,2018
HW-PC-10033,Hawkins Stainless Steel Contura 5L,Pressure Cooker,Stainless Steel Contura,Stainless Steel,Premium,5.0,True,5530.0,0.45,5,2015
HW-PC-10034,Hawkins Stainless Steel Contura 6.5L,Pressure Cooker,Stainless Steel Contura,Stainless Steel,Premium,6.5,True,6320.0,0.45,5,2024
HW-PC-10035,Hawkins Hevibase 3L,Pressure Cooker,Hevibase,Aluminium,Standard,3.0,False,1640.0,0.5,5,2024
HW-PC-10036,Hawkins Hevibase 4L,Pressure Cooker,Hevibase,Aluminium,Standard,4.0,False,1830.0,0.5,5,2023
HW-PC-10037,Hawkins Hevibase 5L,Pressure Cooker,Hevibase,Aluminium,Standard,5.0,False,2020.0,0.5,5,2018
HW-PC-10038,Hawkins Hevibase 6.5L,Pressure Cooker,Hevibase,Aluminium,Standard,6.5,False,2310.0,0.5,5,2015
HW-PC-10039,Hawkins Hevibase 8L,Pressure Cooker,Hevibase,Aluminium,Standard,8.0,False,2600.0,0.5,5,2022
HW-PC-10040,Hawkins Stainless Steel 2L,Pressure Cooker,Stainless Steel,Stainless Steel,Premium,2.0,True,3720.0,0.65,5,2020
HW-PC-10041,Hawkins Stainless Steel 3L,Pressure Cooker,Stainless Steel,Stainless Steel,Premium,3.0,True,4220.0,0.65,5,2015
HW-PC-10042,Hawkins Stainless Steel 4L,Pressure Cooker,Stainless Steel,Stainless Steel,Premium,4.0,True,4710.0,0.65,5,2020
HW-PC-10043,Hawkins Stainless Steel 5L,Pressure Cooker,Stainless Steel,Stainless Steel,Premium,5.0,True,5210.0,0.65,5,2015
HW-PC-10044,Hawkins Stainless Steel 6L,Pressure Cooker,Stainless Steel,Stainless Steel,Premium,6.0,True,5700.0,0.65,5,2024
HW-PC-10045,Hawkins Stainless Steel 8L,Pressure Cooker,Stainless Steel,Stainless Steel,Premium,8.0,True,6700.0,0.65,5,2018
